step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
213,TRANSFER,151120.98,C242002065,0.0,0.0,C856543697,223508.44,374629.41,0,0
13,CASH_IN,262546.81,C1662244460,941551.24,1204098.05,C33412994,0.0,0.0,0,0
583,CASH_OUT,759701.03,C1817565028,759701.03,0.0,C1623972064,1076095.67,1835796.71,1,0
325,TRANSFER,121634.61,C2080541895,0.0,0.0,C1767202765,173491.35,295125.96,0,0
138,PAYMENT,12477.31,C1140330143,343.0,0.0,M1520668693,0.0,0.0,0,0
351,CASH_OUT,190284.66,C917108311,46235.0,0.0,C1495119408,4507970.23,4698254.89,0,0
42,PAYMENT,19689.59,C182857135,11781.0,0.0,M1114119385,0.0,0.0,0,0
303,PAYMENT,28459.17,C657235087,0.0,0.0,M2102929467,0.0,0.0,0,0
137,CASH_OUT,219200.84,C1343889233,10297.0,0.0,C803787351,166500.26,385701.1,0,0
185,CASH_OUT,214508.53,C493107512,19952.0,0.0,C1399266845,60616.29,275124.82,0,0
313,PAYMENT,20515.32,C699886340,9005.0,0.0,M1270737749,0.0,0.0,0,0
353,CASH_OUT,62118.51,C568690760,53835.0,0.0,C598887059,355230.88,417349.39,0,0
730,CASH_OUT,338364.14,C449727386,338364.14,0.0,C1527134062,724300.82,1062664.96,1,0
160,PAYMENT,9415.54,C1162395774,224951.22,215535.68,M565456526,0.0,0.0,0,0
4,CASH_OUT,86070.17,C1699873763,86070.17,0.0,C560041895,0.0,86070.17,1,0
22,TRANSFER,286989.07,C128206899,0.0,0.0,C1410718425,429330.49,716319.56,0,0
330,CASH_IN,236461.85,C891697347,305182.0,541643.85,C1875807924,489434.31,252972.46,0,0
279,CASH_OUT,17187.4,C1490334664,61823.0,44635.6,C1278506734,1625729.52,1642916.92,0,0
34,CASH_OUT,76805.43,C1013209852,0.0,0.0,C2110090153,1656106.71,1732912.14,0,0
210,CASH_OUT,94431.98,C625726422,94431.98,0.0,C793233839,253005.72,347437.7,1,0
289,TRANSFER,98757.16,C1407687308,0.0,0.0,C535177149,1429957.89,1528715.06,0,0
297,PAYMENT,31220.06,C1273938100,0.0,0.0,M1033849939,0.0,0.0,0,0
397,PAYMENT,7040.79,C598523875,448838.18,441797.39,M1012505122,0.0,0.0,0,0
261,CASH_OUT,78554.3,C725416772,0.0,0.0,C917594662,1447989.69,1526543.99,0,0
182,CASH_IN,298818.91,C633695867,2439.0,301257.91,C427679623,526128.01,227309.1,0,0
129,CASH_OUT,96012.86,C676419453,356.0,0.0,C1222239815,0.0,184666.37,0,0
402,CASH_IN,93016.81,C2113488057,13795.0,106811.81,C370961035,120442242.33,120460705.07,0,0
351,CASH_IN,151415.35,C1775353183,21700.0,173115.35,C854794823,0.0,0.0,0,0
18,CASH_OUT,134481.31,C955834496,0.0,0.0,C581553611,336973.67,471454.98,0,0
227,CASH_OUT,4075956.58,C1194310018,4075956.58,0.0,C299514580,79992.36,4155948.94,1,0
229,CASH_IN,386078.36,C174789109,14474146.48,14860224.84,C203519578,524260.24,138181.88,0,0
9,CASH_OUT,361559.69,C684758020,361559.69,0.0,C1769042905,504667.31,189441.24,1,0
378,CASH_OUT,317082.63,C1012581389,10569.0,0.0,C86258274,205006.17,522088.8,0,0
249,CASH_IN,135549.6,C994779270,838547.68,974097.28,C294510146,4194219.85,4058670.25,0,0
300,PAYMENT,18769.12,C1691197670,0.0,0.0,M1465751220,0.0,0.0,0,0
