Configuração,Repetição,F1-Score
SGD (Estocastico),1,0.8829787234042553
SGD (Estocastico),2,0.8695652173913043
SGD (Estocastico),3,0.8571428571428571
SGD (Estocastico),4,0.8829787234042553
SGD (Estocastico),5,0.8681318681318682
SGD (Estocastico),6,0.8633879781420765
SGD (Estocastico),7,0.8555555555555555
SGD (Estocastico),8,0.847457627118644
SGD (Estocastico),9,0.8491620111731844
SGD (Estocastico),10,0.8666666666666667
Mini-Batch (32),1,0.6415094339622641
Mini-Batch (32),2,0.6496815286624203
Mini-Batch (32),3,0.6666666666666666
Mini-Batch (32),4,0.6578947368421053
Mini-Batch (32),5,0.6832298136645962
Mini-Batch (32),6,0.6122448979591837
Mini-Batch (32),7,0.6829268292682927
Mini-Batch (32),8,0.6351351351351351
Mini-Batch (32),9,0.6493506493506493
Mini-Batch (32),10,0.6622516556291391
Mini-Batch (128),1,0.14678899082568808
Mini-Batch (128),2,0.22807017543859648
Mini-Batch (128),3,0.11320754716981132
Mini-Batch (128),4,0.1308411214953271
Mini-Batch (128),5,0.21428571428571427
Mini-Batch (128),6,0.18181818181818182
Mini-Batch (128),7,0.4
Mini-Batch (128),8,0.07692307692307693
Mini-Batch (128),9,0.22807017543859648
Mini-Batch (128),10,0.2975206611570248
Batch (Completo),1,0.2972972972972973
Batch (Completo),2,0.31827956989247314
Batch (Completo),3,0.2222222222222222
Batch (Completo),4,0.43870967741935485
Batch (Completo),5,0.3813559322033898
Batch (Completo),6,0.1864406779661017
Batch (Completo),7,0.435
Batch (Completo),8,0.2222222222222222
Batch (Completo),9,0.23283582089552238
Batch (Completo),10,0.3262411347517731
